Company Name,Industry,Metro Area,Million/Billion,State,% Growth,Rank,Revenue
Fab Glass and Mirror,Consumer Products & Services,"Columbus, OH",Million,Ohio,20,185,2
Magoosh,Education,San Francisco,Million,California,19.91,186,7
BrandNex.com,Advertising & Marketing,Houston,Million,Texas,19.89,187,2
Climate Control Experts,Construction,"Las Vegas-Henderson-Paradise, NV",Million,Nevada,19.53,189,5
My Home Group Real Estate,Real Estate,Phoenix,Million,Arizona,19.53,190,11
Connect Assistance,Insurance,"San Juan-Carolina-Caguas, PR",Million,Puerto Rico,19.42,191,2
Shopper Approved,Software,"Ogden-Clearfield, UT",Million,Utah,19.39,192,3
Commodore Leasing,Retail,Nashville,Million,Tennessee,19.33,193,4
ServRx,Health,Phoenix,Million,Arizona,19.29,194,47
Global Lending Services,Financial Services,Atlanta,Million,Georgia,19.27,195,71
HealthSparq,Health,"Portland, OR",Million,Oregon,19.14,196,20
Idea Buyer,Consumer Products & Services,"Columbus, OH",Million,Ohio,19.12,197,2
Optamark,Business Products & Services,"Providence-Warwick, RI-MA",Million,Massachusetts,19.06,198,5
Drawbridge,Advertising & Marketing,San Francisco,Million,California,19.03,199,66
LLB Enterprises,Business Products & Services,"Washington, DC",Million,Virginia,19,200,2
Trantor,Software,San Francisco,Million,California,19,201,10
Movable Ink,Advertising & Marketing,New York City,Million,New York,18.97,202,18
GTUIT,Energy,"Billings, MT",Million,Montana,18.94,203,11
Pipedrive,Software,New York City,Million,New York,18.94,204,9
Health Warrior,Food & Beverage,"Richmond, VA",Million,Virginia,18.87,205,10
Chicken & Rice Guys,Food & Beverage,Boston,Million,Massachusetts,18.83,206,3
RPM,Logistics & Transportation,Detroit,Million,Michigan,18.74,207,26
Payline Data,Financial Services,Chicago,Million,Illinois,18.66,208,5
Sunpro Solar,Construction,"New Orleans-Metairie, LA",Million,Louisiana,18.66,209,19
Fire Line Services,Construction,Dallas,Million,Texas,18.59,210,15
NextGen Federal Systems,IT Services,"Morgantown, WV",Million,West Virginia,18.55,211,4
Darkblade Systems,Government Services,"Washington, DC",Million,Virginia,18.48,212,4
GREEN CREATIVE,Manufacturing,San Francisco,Million,California,18.42,213,40
C3 Group,Insurance,Denver,Million,Colorado,18.38,214,3
Preting Consulting,Government Services,"Washington, DC",Million,Virginia,18.27,215,5
MOD Mission Critical,IT Services,Denver,Million,Colorado,18.16,216,3
Opteamix,IT Services,Denver,Million,Colorado,18.09,217,7
DA Defense Logistics HQ,Logistics & Transportation,"El Paso, TX",Million,Texas,18.09,218,19
Tergus Pharma,Health,"Durham-Chapel Hill, NC",Million,North Carolina,18.05,219,9
nCino,Software,"Wilmington, NC",Million,North Carolina,18.05,220,13
WePay,Software,San Francisco,Million,California,17.95,221,58
Pro-Sphere Tek,IT Services,"Washington, DC",Million,Virginia,17.95,222,46
Aegis Corps,Government Services,"Washington, DC",Million,Virginia,17.94,223,4
Prairie Landworks,Construction,"McPherson, KS",Million,Kansas,17.72,224,4
Kohana Coffee,Food & Beverage,Austin,Million,Texas,17.67,225,7
National Medtrans Network,Health,New York City,Million,New York,17.65,226,74
Sophus IT Solutions,IT Services,Seattle,Million,Washington,17.44,227,3
CallTrackingMetrics,Software,Baltimore,Million,Maryland,17.42,228,5
Consumer Fire Products,Security,"Eugene, OR",Million,Oregon,17.41,229,2
Land Gorilla,Construction,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",Million,California,17.26,230,5
Shop Melee,Consumer Products & Services,Chicago,Million,Illinois,17.24,231,2
Sound Rink,Consumer Products & Services,"Portland-South Portland, ME",Million,Maine,17.14,232,3
Rocky Mountain Barrel Company,Food & Beverage,Denver,Million,Colorado,16.92,233,6
Avadim Technologies,Health,"Asheville, NC",Million,North Carolina,16.75,234,4
LONECONE.com,Retail,"Boise City, ID",Million,Idaho,16.72,235,3
Apeks Supercritical,Manufacturing,"Columbus, OH",Million,Ohio,16.62,236,12
L2F,Engineering,San Francisco,Million,California,16.54,237,3
Humm Kombucha,Food & Beverage,"Prineville, OR",Million,Oregon,16.44,238,4
Influence & Co.,Advertising & Marketing,"Columbia, MO",Million,Missouri,16.43,239,4
AKESOgen,Health,Atlanta,Million,Georgia,16.16,240,9
MasteryPrep,Education,"Baton Rouge, LA",Million,Louisiana,16.12,241,4
Primal Health,Health,Dallas,Million,Texas,16.12,242,12
Stratton & Bratt,Construction,"Provo-Orem, UT",Million,Utah,16.09,243,8
Fathom Realty,Real Estate,Dallas,Million,Texas,16.04,244,30
Stability Healthcare,Health,Los Angeles,Million,California,15.98,245,9
B&D Consulting,IT Services,"Hagerstown-Martinsburg, MD-WV",Million,Maryland,15.98,246,8
TENICA and Associates,Government Services,"Washington, DC",Million,Virginia,15.91,247,9
KPG Healthcare,Health,Los Angeles,Million,California,15.9,248,7
ANALYTICA,IT Services,"Washington, DC",Million,District of Columbia,15.88,249,10
RightBrain Networks,Software,"Ann Arbor, MI",Million,Michigan,15.86,250,3
Casino Cash Trac,Software,"Tulsa, OK",Million,Oklahoma,15.75,251,2
LinkedSelling,Advertising & Marketing,"St. Louis, MO-IL",Million,Missouri,15.74,252,2
Her Hair Company,Consumer Products & Services,"Indianapolis, IN",Million,Indiana,15.7,253,5
Hosted Records,Government Services,"Washington, DC",Million,Virginia,15.57,254,3
freshbenies,Health,Dallas,Million,Texas,15.55,255,6
Tresata,Software,Charlotte,Million,North Carolina,15.51,256,5
ChiroFusion,Software,Philadelphia,Million,Delaware,15.45,257,4
Applied Thought,IT Services,"Orlando, FL",Million,Florida,15.41,258,4
SmartBox Web Marketing,Advertising & Marketing,"Louisville/Jefferson County, KY-IN",Million,Indiana,15.34,259,4
Orion,IT Services,Atlanta,Million,Georgia,15.31,260,6
Florida Solar One,Energy,Miami,Million,Florida,15.24,261,2
Auric Solar,Energy,Salt Lake City,Million,Utah,15.21,262,29
Jane,Retail,"Provo-Orem, UT",Million,Utah,15.1,263,84
Double A Events,Advertising & Marketing,Austin,Million,Texas,15.02,264,4
CloudSmartz,IT Services,"Rochester, NY",Million,New York,15,265,5
Danny Wimmer Presents,Consumer Products & Services,Los Angeles,Million,California,14.96,266,41
CRM Science,IT Services,Philadelphia,Million,Pennsylvania,14.93,267,3
Edgemont Pharmaceuticals,Health,Austin,Million,Texas,14.93,268,27
Synartis Health,Health,Atlanta,Million,Georgia,14.9,269,2
Carved,Consumer Products & Services,"Elkhart-Goshen, IN",Million,Indiana,14.8,270,3
FormSwift,Software,San Francisco,Million,California,14.7,271,14
Ruby Has Fulfillment,Logistics & Transportation,New York City,Million,New York,14.58,272,3
RobotLAB,Software,San Francisco,Million,California,14.29,273,5
VetInternetCo.com,Retail,"Albertville, AL",Million,Alabama,14.26,274,10
Bowlmor AMF,Food & Beverage,New York City,Million,New York,14.22,275,566
PSG Construction,Construction,Atlanta,Million,Georgia,14.19,276,24
Flowonix Medicial,Health,New York City,Million,New Jersey,14.17,277,10
ReliaTrain,Engineering,Detroit,Million,Michigan,14.13,278,2
Parse.ly,Business Products & Services,New York City,Million,New York,14.06,279,4
American Pillowcase,Retail,"Richmond, VA",Million,Virginia,14,280,7
Private Label Skin,Manufacturing,Tampa,Million,Florida,13.97,281,21
Smart Energy Today,Energy,"Olympia-Tumwater, WA",Million,Washington,13.86,282,13
Survwest,Engineering,Denver,Million,Colorado,13.84,283,3
"iLendingDIRECT, powered by Fleet Financial",Financial Services,Denver,Million,Colorado,13.82,284,245
The Fulfillment Lab,Logistics & Transportation,Tampa,Million,Florida,13.75,285,8
Five Lakes Professional Services,Business Products & Services,Cleveland,Million,Ohio,13.64,286,2
Advice Media,Advertising & Marketing,"Summit Park, UT",Million,Utah,13.6,287,7
TaskUs,Business Products & Services,Los Angeles,Million,California,13.55,288,54
Spikeball,Consumer Products & Services,Chicago,Million,Illinois,13.54,289,7
Arcweb Technologies,Software,Philadelphia,Million,Pennsylvania,13.54,290,4
Vantage Point,Computer Hardware,Chicago,Million,Wisconsin,13.52,291,27
Metamarkets,Advertising & Marketing,San Francisco,Million,California,13.51,292,10
OneStream Software,Software,Detroit,Million,Michigan,13.45,293,14
SmartyPants Vitamins,Health,Los Angeles,Million,California,13.39,294,12
Potomac River Holdings,Retail,"Washington, DC",Million,Virginia,13.37,295,17
VOR Technology,Government Services,Baltimore,Million,Maryland,13.21,296,2
Nearpod,Education,Miami,Million,Florida,13.2,297,3
WebME Technologies / WMT,Software,Miami,Million,Florida,13.18,298,2
PagerDuty,Software,San Francisco,Million,California,13.03,299,28
LicenseLogix,Business Products & Services,New York City,Million,New York,13,300,6
Maer Construction,Construction,"Jacksonville, FL",Million,Florida,12.89,301,4
